arm,mi_dt,mi_mc,stroke_dt,stroke_mc,major_bleed_dt,minor_bleed_mc,death_dt,death_mc
sc,38.4479900619054,337.163221620014,6.66903947458177,54.9520167833725,24.5330522328266,18.1416703384861,48.7063433072092,27105.3299485339
pc,35.3079942665858,340.352117261898,6.53945148450606,55.4717539183757,24.2756413811009,17.0735896241289,43.4052927178608,27027.8850978476
